code,region_code,en,ar
82,5,Al Kabarit,الكبريت
83,5,Raghwah,رغوة
84,5,Hima,حمى
85,5,Az Zabr,الزبر
86,5,As Saffaniyah,السفانية
87,5,Al Mahawa,المحوى
88,5,Umm Ghawr,أم غور
89,5,Qaryat Al 'Ulya,قرية العليا
90,5,Ar Rafi'ah,الرفيعة
91,5,Jarrarah,جرارة
92,5,Qurayyah,قرية
93,5,Al Buwaybiyat,البويبيات
94,5,As Su'ayyirah,السعيرة
95,5,Manakh,مناخ
96,5,Al Hayra,الحيرا
97,5,Umm Ash Shifallah,ام الشفلح
98,5,Al Lahabah,اللهابة
99,5,Al Farridah,الفريدة
100,5,Ash Shamiyah,الشامية
101,1,Al 'Aytaliyah,العيطلية
102,5,Sihmah,سحمة
103,5,Ash Shamlul (Umm Aqla),الشملول / ام عقلا
104,5,Umm Al Hawshat,ام الهوشات
105,5,Ash Shayyit,الشيط
106,5,Al 'Adhiriyah,العاذرية
107,5,Ash Shihiyah,الشيحية
108,1,Hizwah (Al Umaniyah),حزوة / العمانية
109,5,Al Qar'a,القرعاء
110,5,Al Lisafah,اللصافة
111,5,An Nuqayrah,النقيرة
112,5,Hijrat Awlad Hithlin,هجرة أولاد حثلين
113,5,Al Jubail,الجبيل
114,5,Farzan,فرزان
115,5,An Nu'ayriyah,النعيرية
116,5,Umm Dulay',ام ضليع
117,5,Mulayjah,مليجة
118,5,As Sarrar,الصرار
119,5,Hanidh,حنيذ
120,5,Mughati,مغطي
121,5,Shifiyah,شفية
122,5,Utayyiq,عتيق
123,5,Al Husayy,الحسي
124,5,Thaj,ثاج
125,5,Al Hinnah,الحناة
126,5,Al Kahafah,الكهفة
127,5,As Sahaf,الصحاف
128,5,Al Uyainah,العيينة
129,5,Al Qulayyib,القليب
130,5,Al Wannan,الونان
131,5,Ghanwa,غنوى
132,5,Az Zughayn,الزغين
133,5,Nita',نطاع
134,5,Umm Al Hamam,ام الحمام
135,5,Umm Rubay'ah,ام ربيعة
136,5,Abu Hadriyah,ابو حدرية
137,5,Munifah,منيفة
138,1,Al Aflaj,الافلاج
139,4,Khaitan,خيطان
140,1,Al Wasi'ah,الوسيعة
141,1,Tamriyah,تمرية
142,1,Abu Khusayfa,ابو خسيفاء
143,1,An Nakhil,النخيل
144,1,As Suhaymi,السحيمي
145,1,Masadah,مصدة
146,1,Umm Sudayrah,أم سديرة
147,1,At Tanhah,التنهاة
148,1,Qura At Tuwaym,قري التويم
149,1,Ash Shahmah,الشحمة
150,1,Al Wuday,الودي
151,1,Juwayy,جوي
152,1,Muqbilah,مقبلة
153,1,Harmah,حرمة
154,7,Al Ma'dham,المعظم
155,1,Jirab,جراب
156,1,Al 'Uqlah,العقلة
157,1,An Nughayq,النغيق
158,1,Huwaimidah,حويمضة
159,1,Al Butaira',البتيراء
160,1,Al Mishash,المشاش
161,1,Al Furuthi,الفروثي
162,1,Jalajil,جلاجل
163,1,Ad Dakhilah,الدخيلة
164,1,Al Husun,الحصون
165,1,Hawtat Sudair,حوطة سدير
166,1,Rawdat Sudair,روضة سدير
167,1,Tumair,تمير
168,1,Al Artawiyah,الارطاوية
169,1,Al 'Amar,العمار
170,1,Al Khis,الخيس
171,1,Al Ma'ashbah,المعشبة
172,1,At Tuwaym,التويم
173,1,Al Khutamah,الخطامة
174,1,Ruwaydah Buwadaa,رويضة بوضاء
175,1,Ash Shi'b,الشعب
176,1,Asharat Sudair,عشيرة سدير
177,1,Al Junayfi,الجنيفي
178,1,Al 'Attar,العطار
179,1,Umm Al Jamajim,ام الجماجم
180,1,Mishlah,مشلح
181,1,Umm Rujum,ام رجوم
182,1,Ar Ruwaydah,الرويضة
183,1,Al Faysaliyah,الفيصلية
184,1,Bawda',بوضاء
185,1,Al Hair,الحائر
186,1,Wushayy,وشي
187,1,'Awdat Sudayr,عودة سدير
188,1,Mubayid,مبايض
189,1,Al Qa'iyah,القاعية
190,3,Dibdibbat Fudala,دبدبة فضلاء
191,7,Al Hajab,الحجب
192,7,Adh Dhalfah,الضلفة
193,3,Abu Taqah,أبو طاقة
194,3,Al 'Ayn Al Jadidah,العين الجديدة
195,3,Qa'arah Al Daumah,قعرة الدومة
196,3,Umm Zarb,أم زرب
197,3,Hadiyah,هدية
198,3,Al Qa'arah,القعرة
199,3,Al Ula,العلا
200,7,Al Jahara,الجهراء
201,7,Ruhayb,رحيب
202,3,Shalal,شلال
203,3,Da'a,ضاعا
204,3,Jaydah,جيدة
205,3,Qulban 'Isharah,قلبان عشرة
206,7,An Najil,النجيل
207,3,Ar Ruzayqiyah,الرزيقية
208,3,Al Hamidiyah,الحميدية
209,3,Sadr,صدر
210,3,Mughayra',مغيراء
211,3,Qusayb Abu Siyal,قصيب ابو سيال
212,7,Abu Arakah,ابو اراكة
213,3,Madain As Salih,مدائن الصالح
214,3,Awarsh,عورش
215,7,An Nushayfah,النشيفة
216,3,Az Zubayir,الزباير
217,3,Ad Dulay'ah,الضليعة
218,3,Mitan Al 'Urayqah,متان العريقة
219,3,Al Abraq,الابرق
220,3,Amirah,اميرة
221,3,Al Jadidah,الجديدة
222,3,Kutayfat Masadir,كتيفة مصادر
223,7,Ar Ras,الراس
224,7,Al Bayt,البيت
225,7,Bir Bahar,بئر بحار
226,7,Sabhan,سبحان
227,5,Dhahran,الظهران
228,7,Umm Ar Rih,أم الريح
229,7,Haram,حرم
230,7,'Akuz,عكوز
231,7,As Sudayd,السديد
232,7,Al Hufayrah,الحفيرة
233,7,Al Wajh,الوجه
234,7,An Nabi',النابع
235,7,'Antar,عنتر
236,7,Al Manjur,المنجور
237,7,Aba Al Qizaz,ابا القزاز
238,7,Bada',بداء
239,7,Khurba',خرباء
240,7,Al Kurr,الكر
241,5,Burq Al Usaydiyah,برق الأسيدية
242,5,Al Fadili,الفاضلي
243,5,Buqayq,بقيق
244,5,Qurayyah,قرية
245,5,Dhulum,ظلوم
246,5,New 'Ayn  Dar,عين دار الجديده
247,5,Old 'Ayn  Dar,عين دار القديمة
248,5,Allat,علاة
249,5,Fudah,فودة
250,5,Al Kadadiyah,الكدادية
251,5,Yakrub,يكرب
252,5,Al Jabiriyah,الجابرية
253,5,Salasil,صلاصل
254,5,Shuhayla',شهيلاء
255,5,Usayfirat,عصيفرات
256,6,Tarib,طريب
257,5,Ad Dughaymiyah,الدغيمية
258,1,Ar Rawdah,الروضة
259,1,Al Mansaf,المنسف
260,1,Mansiyah Al Gharbiyah,منسية الغربية
261,1,'Ushayrah,عشيرة
262,1,Al Faysaliyah,الفيصلية
263,1,Ath Thuwayr,الثوير
264,1,Zulayghif,زليغف
265,1,Mazari' Al Athlah,مزارع الاثلة
266,1,Mazari' Ar Ruhayyah,مزارع الرحية
267,1,Qusayba,قصيباء
268,1,Mazra'at Bayda Nuthayl,مزرعة بيضاء نثيل
269,1,Imarat Al Mistawi,امارة المستوي
270,1,Az Zulfi,الزلفي
271,1,Samnan,سمنان
272,1,'Iliqah,علقة
273,3,Al 'Ayn,العين
274,3,Al Mudhawih,المضاويح
275,3,Aba Al Baqar,ابا البقر
276,3,Al Hardhah,الحرضة
277,3,Adh Dhars,الضرس
278,3,Al Khuraybah,الخريبة
279,3,Al 'Araid,العرائد
280,3,Ghamrah,غمرة
281,3,Al 'Uqaylah,العقيلة
282,3,Al 'Adlah,العدلة
283,3,Ad Disah,الديسة
284,3,As Sulaymi,السليمي
285,3,Al Jarf,الجرف
286,3,Al Hadhluli,الهذلولي
287,3,Jad'a,جدعاء
288,3,Khaybar,خيبر
289,3,Al Lihin,اللحن
290,3,Al 'Ishash,العشاش
291,3,As Silsilah,الصلصلة
292,3,Al Thamad,الثمد
293,3,Al Uyaynah,العينية
294,1,Rumah,رماح
295,1,Hafar Al Atk,حفر العتك
296,1,Al Muzayri',المزيرع
297,1,Shawyah,شوية
298,1,Al Hifnah,الحفنة
299,1,Al Ghaylanah,الغيلانة
300,1,Ar Rumhiyah,الرمحية
301,5,Ar Rakah,الراكة
302,7,Al Khuraytah,الخريطة
303,5,Ath Thuqbah,الثقبة
304,5,Al 'Aziziyah,العزيزية
305,7,Shadwa,شدوا
306,1,Al Ghat,الغاط
307,1,Mulayh,مليح
308,7,Ash Shaban,الشبعان
309,7,Ad Duqum,الدقم
310,7,Al Qars,القرص
311,7,Hirad,حراض
312,7,Ash Shibahah,الشبحة
313,7,Rawdat Al Aghaydirat,روضة الاغيدرات
314,7,Al Khadra Al Jadidah,الخضراء الجديدة
315,7,Samur,سمور
316,7,Al Ruwaydat,الرويضات
317,7,Al Mahadrah,المهدرة
318,7,Buqaylah,بقيلة
319,7,An Nu'aylah,النعيلة
320,7,Az Zaghliyah,الزغلية
321,7,Tuwalah,توله
322,7,Al 'Ayn,العين
323,7,Umluj,املج
324,7,Famm Shithath,فم شثاث
325,7,Al Harrah,الحرة
326,7,Al 'Ambijah,العمبجة
327,7,Ash Shidakh,الشدخ
328,3,Al Maramiyah,المرامية
329,1,Mazari' Al Badai',مزارع البدائع
330,1,Al Khatilah,الخاتلة
331,1,Al Bilad Al Wusta,البلاد الوسطى
332,1,Al 'Ulayya,العليا
333,1,Al Hisyan,الحسيان
334,1,Ad Dul 'Ayi,الضلعي
335,1,Tunaibikah,تنيبيكة
336,1,'Ablah,عبلة
337,1,'Abliyah,عبلية
338,1,Hijrat As Silat,هجرة السلات
339,1,Umm Talhah,ام طلحة
340,1,Mua'rij Qulaishah,معرج قليشة
341,1,Daghan,داغان
342,1,Al Jurfiyah,الجرفية
343,1,Hashashah,حشاشة
344,1,Al Mardamah,المردمة
345,1,Lahdat As Sayahid,لهدة الصياهد
346,1,Al Barza,البرزاء
347,1,Al Faydah,الفيضة
348,1,Al Khalidiyah,الخالدية
349,1,Al Hamadah,الحمادة
350,1,Al Dahimaiyyah,الداهمية
351,3,Al Hamnah,الحمنة
352,3,Umm Al Ghiran,أم الغيران
353,3,Al Mundassah,المندسة
354,3,As Sulaymiyah,السليمية
355,3,Al Barraqiyah,البراقية
356,3,As Siraqi,السراقي
357,3,Abar Dahmulah,آبار دحمولة
358,3,Al Quway'iyah,القويعية
359,3,Badai' Al Harasin,بدائع الهراسين
360,3,Mahd Adh Dhahab,مهد الذهب
361,3,Sufaynah,صفينة
362,3,Ar Riqabiyah,الرقابية
363,3,As Sulhaniyah,الصلحانية
364,3,Al Ghashiyah,الغاشية
365,3,Al Asayhir,الاصيحر
366,3,As Suwayriqiyah,السويرقية
367,3,Tharb,ثرب
368,3,Hadhah,حاذة
369,3,Al Umaq,العمق
370,3,As Sa'biyah,الصعبية
371,2,Al Qa'arah,القعرة
372,2,Al Juhfah,الجحفة
373,3,Rayin,راين
374,2,Az Zuwayra,الزويراء
375,2,Al Nuwaybi',النويبع
376,2,Al 'Uqlah,العقلة
377,2,Rabigh,رابغ
378,2,Masturah,مستورة
379,2,Al Abwa',الابواء
380,2,Shuluwah,شلوة
381,2,Kilayyah,كلية
382,2,Hajur,حجر
383,2,Sa'bar,صعبر
384,2,At Tandabiyah,التنضبية
385,2,Quwayzah,قويزة
386,2,An Nazzah,النزة
387,2,Ash Shu'abah,الشعبة
388,2,As Sadr,الصدر
389,2,Al Magharibah,المغاربة
390,2,Al Kuwaysiyah,الكويسية
391,2,Abu Hulayfa,ابو حليفاء
392,2,Mahjubah,محجوبة
393,1,Bir Al Faydah,بئر الفيضة
394,1,Al Humayj,الهميج
395,1,Adh Dhibiyah,الذيبية
396,1,Khadra,خضراء
397,1,Al Badayi',البدايع
398,1,Battahah,بطاحة
399,1,As Saqrah,الصقرة
400,1,Wabrah,وبرة
401,1,Abu 'Isharah,أبو عشرة
402,1,Al Mu'allaq,المعلق
403,1,Ar Rumaythi,الرميثي
404,1,Al Hiraniyah,الهرانية
405,4,Ar Radum,الرضم
406,1,Ath Tha'al,الثعل
407,1,Al Unsiyat,الانسيات
408,1,Far'at Ar Rumaythi,فرعة الرميثي
409,1,Al Butayn,البطين
410,1,Mushrifah,مشرفة
411,1,Bidaydah,بديدة
412,1,Al Mijhiliyah,المجهلية
413,1,Al Baharah,البحرة
414,1,Buday'ah,بديعة
415,1,Al Juthum,الجثوم
416,1,Ash Shuwaytin,الشويطن
417,1,Al Mahamah,المحامة
418,1,Afif,عفيف
419,1,Abraqiyah,ابرقية
420,1,Al Jammaniyah,الجمانية
421,1,Al Ashariyah,الاشعرية
422,1,Al Khadarah,الخضارة
423,1,As Salhiyah,الصالحية
424,1,Badai' Al Idyan,بدائع العضيان
425,1,Umm Arta,أم أرطى
426,1,Al Maklah,المكلاة
427,1,'Ushayran,عشيران
428,1,Bu'aythiran,بعيثران
429,1,Umm Qusur,أم قصور
430,1,'Abdah,عبدة
431,1,Khuraysah,خريصة
432,1,'Ajabah,عجابة
433,1,Al Mudayfi',المديفع
434,1,Al Qidrawiyah,القدراوية
435,8,Ubayrah,أوبيرة
436,1,Umm Athlah,أم أثلة
437,1,Al Akhdar,الأخضر
438,1,Muti'ah,مطيعة
439,1,Al Madarah,المدارة
440,1,'Usaylah,عسيلة
441,1,Al Hilwah,الحلوة
442,1,Ad Dubayjah,الدبيجة
443,1,Thadiq,ثادق
444,1,Ar Rawbidah / Raghabah,الروبضة / رغبة
445,1,Ruwaydat As Suhul,رويضة السهول
446,1,Mishash As Suhul,مشاش السهول
447,1,Al Husayy,الحسي
448,1,As Sufarat,الصفرات
449,1,Al Bir,البير
450,1,Ruwayghib,رويغب
451,3,An Najf,النجف
452,3,As Sutayh,السطيح
453,3,Al Khaymah,الخيمة
454,5,Sayhat,سيهات
455,3,Tafidah,تفيدة
456,5,Tarut,تاروت
457,3,Nadya,ندياء
458,3,Mushrifah,مشرفة
459,3,Duwayyinah,دوينه
460,3,'Adan,عدن
461,3,Al Ahmar,الأحمر
462,3,Al Muthallath,المثلث
463,3,Al Far',الفرع
464,3,Al Biqa',البقاع
465,3,An Najil,النجيل
466,3,Al Bathnah,البثنة
467,3,Khayf Husayn,خيف حسين
468,3,Al Baqqariyah,البقارية
469,3,Al Fuq'ali,الفقعلي
470,3,Al Mushayrif,المشريف
471,3,Umm Al Misin,أم المسن
472,3,Al Badi',البديع
473,3,Ad Darah,الدارة
474,3,Al Quray,القري
475,3,As Sulaym,السليم
476,3,Al Luthamah,اللثامة
477,3,Al Muqanna',المقنع
478,3,Dufyan,ضفيان
479,3,'Adad,عضاد
480,3,Al 'Idwah,العدوة
481,3,An Nabah,النباة
482,3,Al Baridi,البريدي
483,3,Yanbu,ينبع
484,3,Al Qarrasah,القراصة
485,3,Al 'Is,العيص
486,3,Al Jabiriyah,الجابرية
487,3,Yanbu An Nakhil,ينبع النخل
488,3,Jarajir,جراجر
489,3,Tir'ah,ترعة
490,3,Al Murabba',المربع
491,3,Nabt,نبط
492,3,As Salilah,السليلة
493,1,Al Qarain,القرائن
494,1,Ash Shukayyrah,الشكيرة
495,1,Hijrat Al Mughur,هجرة المغر
496,1,Mazari' Al Muhtajibah,مزارع المحتجبة
497,1,Al Ghurabah,الغرابة
498,1,Al Qa'iyah,القاعية
499,1,Ghuslah,غسلة
500,1,Shaqra',شقراء
501,1,Al Hafuf,الهفوف
502,1,Halwan,حلوان
503,1,Hasarah,حصرة
504,1,Ath Thumamiyah,الثمامية
505,1,Lubaydah,لبيدة
506,1,Al 'Idayyaniyah,العضيانية
507,1,'Ajlah,عجلة
508,1,Sa'dah,سعدة
509,1,Jafn Dabb,جفن ضب
510,1,Dalqan,دلقان
511,1,Umm As Siba',أم السباع
512,1,Al Jilh Al A'la,الجله الأعلى
513,1,Al Khafaq Al Janubi,الخفق الجنوبي
514,1,Ad Dihwah,الدحوة
515,1,Al Khafaq Al Qadim,الخفق القديم
516,1,Ash Sharmiyah,الشرمية
517,1,Maraghan,مراغان
518,1,Al Faydah,الفيضة
519,1,Al Jarwiyah,الجروية
520,1,Al Awshaziyah,العوشزية
521,1,Abu Rijum,أبو رجوم
522,1,Al Qaltah,القلتة
523,1,Li'li',لعلع
524,1,Al Ghurayri,الغريري
525,1,Al Khunqah,الخنقة
526,1,An Nasaq Al Qadim,النسق القديم
527,1,Wuthaylan,وثيلان
528,1,Bayda' Nathil,بيضاء نثيل
529,1,Umm Ad Diba,أم الدباء
530,1,Al Amar,الأمار
531,1,'Usaylan,عسيلان
532,1,As Sidriyah,السدرية
533,1,Umm Ash Shubrum,أم الشبرم
534,1,Al Hijjaji,الحجاجي
535,1,Al Ghubayya,الغبياء
536,1,Faydah Bin Saeedan,فيضة بن سعيدان
537,1,Abu Humayd,أبو حميض
538,1,An Nubaybi',النبيبيع
539,1,An Naba',النباع
540,1,Al Malqa,الملقى
541,1,Hujayla,حجيلاء
542,1,Al 'Abd,العبد
543,1,Umm Al Jithjath,أم الجثجاث
544,1,Umm Jafr,أم جفر
545,1,Al Khalfiyah,الخلفية
546,2,Al Jidh'an,الجدعان
547,2,Zinqahah,زنقاحة
548,2,Al 'Umshan,العمشان
549,2,Al Judhayyah,الجذية
550,2,Al 'Uqdah,العقدة
551,2,Al Qara,القرا
552,2,Al Futaymah,الفطيمة
553,2,Al Maharizah,المحارزة
554,2,Al Himah,الحمة
555,2,Sayyadah,صيادة
556,2,Al Dufaynah,الدفينة
557,2,Al Wahat,الوهط
558,2,Al Ghunnam,الغنم
559,2,Abu Ghayl,ابو غيل
560,2,Umm Al Bikar,ام البكار
561,2,Al Fu'ur,الفعور
562,2,As Sukhayrah,الصخيرة
563,2,As Sirayh,السريح
564,2,Al Mal'ab,الملعب
565,2,Al Ghimayr,الغمير
566,2,Al Wazir,الوزير
567,2,Thumalah,ثمالة
568,2,An Nusbah,النصبة
569,2,'Abbasah,عباسة
570,2,Al Hufayrah,الحفيرة
571,2,Ghirabah,غرابة
572,2,Al Halqah,الحلقة
573,2,Ar Rikhaylah,الرخيلة
574,1,Al Qasab,القصب
575,1,Al Mishash,المشاش
576,1,As Suh,الصوح
577,1,Ushayqir,اشيقر
578,1,Umm Tulayhah,ام طليحة
579,1,Ad Dahinah,الداهنة
580,1,Al Hariq,الحريق
581,1,Al Juraifah,الجريفة
582,1,Al Waqf,الوقف
583,1,Al 'Uluwah,العلوة
584,1,Farhah,فرحة
585,1,'Arawa,عروى
586,1,Fardah,فردة
587,1,Muwaysil,مويسل
588,1,Ash Shat,الشاة
589,1,Al Sirr,السر
590,1,Mushrif,مشرف
591,1,Badai' Suwayqah,بدائع سويقة
592,1,As Sulubiyah,الصلبية
593,1,Heddah(Mushrifah),حدة (مشرفة)
594,1,Mazari' Ar Rawdah,مزارع الروضة
595,4,Hurmulah,هرمولة
596,4,Faydat Aban Alahmar,فيضة ابان الاحمر
597,4,Ad Darah,الدارة
598,1,Mutribah,مطربة
599,1,Raghlah,رغلة
600,1,Mushrifah,مشرفة
601,1,Dabbah,ضبة
602,1,Al 'Atawi,العطاوي
603,1,Al Hafair,الحفائر
604,1,Mazari' Tinan,مزارع طينان
605,1,Munifah,منيفة
606,1,Quway'an,قويعان
607,1,Al Hanabij,الحنابج
608,1,Ash Shifallahiyah,الشفلحية
609,1,Rawdat Wuthaylan,روضة وثيلان
610,1,Abu Rukab,ابو ركب
611,1,Al Khalidiyah,الخالدية
612,1,Al Hifnah,الحفنة
613,1,Abu Uraynah,أبو عرينة
614,1,Al Far'ah,الفرعة
615,1,Bihar Al Jadid,بحار الجديد
616,1,Hamayyan,حميان
617,6,Al Jarboeyyah,الجربوعية
618,1,Al 'Uqlah,العقلة
619,1,Numaileen,نميلين
620,1,Ad Dahasiyah,الدهاسية
621,1,Al Maslum,المصلوم
622,1,Sa'dah,سعدة
623,1,Umm Radmah,أم رضمة
624,1,As Sinnariyah,السنارية
625,1,Ad Dirirah,الديرية
626,1,Al Mighzal,المغزل
627,1,Jubah,جوباح
628,1,Al Qarnah,القرنة
629,1,Wuthaylan,وثيلان
630,1,'Ayn As Suwayni',عين الصوينع
631,1,Al Artawi,الأرطاوي
632,1,Ath Thiduwah,الثندوة
633,1,Abu Jilal,أبو جلال
634,1,Janub Al Burud,جنوب البرود
635,1,Gharb Al Burud,غرب البرود
636,1,Ar Rishiyah,الريشية
637,1,'Ablah Al Rafayia,عبلة الرفايع
638,1,Mazra'at Al Bidah,مزرعة البيضة
639,1,As Sulaysiyah,السليسية
640,1,Mazra'at Sulaysan,مزرعة سليسان
641,1,Al 'Uwayja,العويجاء
642,1,Al 'Idwah,العدوة
643,1,Al Jadidah,الجديدة
644,1,Badai' Al Hamjah,بدائع الهمجة
645,1,Faydat Al Quwazin,فيضة القوازين
646,1,Mazari' Musayqirat,مزارع مصيقرة
647,1,Al Fayha,الفيحاء
648,1,Ad Dasmah,الدسمة
649,1,Saffaqah,صفاقة
650,1,Qubay'ah,قبيعة
651,1,Ash Shubrumiyah,الشبرمية
652,1,Kuwaykibah,كويكبة
653,8,Al Raeelah,الرعيلة
654,1,Al Wusayta,الوسيطاء
655,1,Ar Raqibah,الرقيبة
656,1,Bid' As Si'aki,بدع الصعكي
657,1,Sultanah,سلطانة
658,1,'Ablah,عبلة
659,1,Al Milayyiniyah,الملينية
660,1,Al Badi'ah,البديعة
661,1,Rawdat Jaham,روضة جهام
662,1,Mazari' Al Jadidah,مزارع الجديدة
663,1,Munifah Al Maghayirah,منيفة المغايرة
664,1,Ad Dir'iyah,الدرعية
665,1,Ar Rumayhah,الرمحية
666,1,Hasu Al Hayd,حسو الحيد
667,1,Hudayjah,حديجة
668,1,Ad Darah,الدارة
669,1,Ad Duwadimi,الدوادمي
670,1,Ad Damthi,الدمثي
671,1,Udakh,أوضاخ
672,1,Kabshan,كبشان
673,1,Hudayjah,حديجة
674,1,Al Qararah,القرارة
675,1,Al Awshaziyah,العوشزية
676,1,Al Jimsh,الجمش
677,1,Najkh,نجخ
678,1,Juraysah,جريسة
679,1,Umm Al 'Athakil,ام العثاكل
680,1,Arja',عرجاء
681,1,Umm Sulaym,أم سليم
682,1,Sajir,ساجر
683,1,Ar Rafi'ah,الرفيعة
684,1,Nifi,نفي
685,1,Masadah,مصدة
686,1,Al Khufayfiyah,الخفيفية
687,1,'Usaylah Al Wusta,عسيلة الوسطي
688,1,Artawi Ar Raqqas,أرطاوي الرقاص
689,1,'Ushayran,عشيران
690,1,Mazra'at Al Khufaysah,مزرعة الخفيسة
691,1,'Ayn Al Qannur,عين القنور
692,1,At Tasrir,التسرير
693,1,Al Athlah,الاثلة
694,1,'Urayfijan,عريفيجان
695,1,As Sakran,السكران
696,1,Jifin,جفن
697,1,Al Burud,البرود
698,1,Jifana,جفنا
699,1,As Salhiyah(Al Ardan),الصالحية (العرضان)
700,1,Al 'Adhiriyah,العاذرية
701,1,Al Bijadiyah,البجادية
702,1,Ar Rafai',الرفائع
703,1,Jaham,جهام
705,1,Al Huzaymiyah,الحزيمية
706,1,Khuff,خف
707,1,Al Muhammadiyah,المحمدية
708,1,Al Hufayrah,الحفيرة
709,1,Masal,ماسل
710,1,Al Qa'iyah,القاعية
711,1,Munifah,منيفة
712,1,Radwa,رضوى
713,1,Artawi Hillit,ارطاوي حليت
714,1,'Awwadah,عواضة
715,1,Shararah,شرارة
716,1,Al Hazm,الحزم
717,1,Saqrah,صقرة
718,1,Al Uqayshiyah,العقيشية
719,1,Al Qurayn,القرين
720,1,Uqlat Al Uwayri,عقلة الغويري
721,1,Umm Zumu',ام زموع
722,1,'Ayn Al Barahah,عين البراحة
723,1,Mughayra',مغيراء
724,1,Ad Dahawi,الضحوي
725,1,'Usaylah,عسيلة
726,1,Al Maghib,المغيب
727,1,Faydat Al Mafass,فيضة المفص
728,1,'Urayyidah,عريدة
729,1,Ash Sha'ra',الشعراء
730,1,Al 'Azimiyah,العازمية
731,1,Al Mahawi,المحوي
732,1,Al Mudarri',المدرع
733,1,Sururah,سرورة
734,1,Asma',عصماء
735,1,Umm Tulayhah,ام طليحة
736,1,Mushrifah Nifi,مشرفة نفي
737,1,Musawi,مساوي
738,1,An Niq'ah,النقعة
739,1,Afqirah,افقرا
740,1,Ar Rufa',الرفاع
741,1,Al Fuqarah,الفقارة
742,1,Al Wuday,الودي
743,1,Ar Rafi'ah,الرفيعة
744,1,Al Khubbah,الخبة
745,1,An Nabuwan,النبوان
746,1,Ar Radifah,الرديفة
747,1,Ar Rishawiyah,الرشاوية
748,1,Mutribah,مطربة
749,1,Al Mustajiddah,المستجدة
750,1,Al Amiriyah,العامرية
751,1,Al Hazimiyyah(Ar Rafi'ah),الحازمية (الرفيعة)
752,1,Adh Dhalmawi,الظلماوي
753,1,Shubayrimah,شبيرمة
754,1,Isam,عصام
755,1,Abbadah,عبادة
757,1,Al 'Abal,العبل
758,1,Artawi Al Hamamid,ارطاوي الحماميد
759,1,Badai' Ibn Najim,بدائع ابن نجم
760,3,Al Marriyah,المرية
761,3,Ash Shuqran,الشقران
762,3,Al Kurayziyah,الكريزية
763,3,Dharah,ذارة
764,3,Qusayba,قصيباء
